q,K,path,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
24,4,2121,1,732,871,0,57,48,32,22,14,9,4,2,2,2,66,61,46,30,20,11,7,4,2,2,1
24,4,2121,2,732,869,0,57,48,32,22,14,9,4,2,2,2,66,66,44,29,18,12,7,3,2,1,1
24,4,2122,0,667,796,0,64,45,31,19,10,7,6,4,2,1,66,59,41,28,16,11,7,3,2,1,1
24,4,2122,1,667,817,0,64,45,31,19,10,7,6,4,2,1,64,66,45,26,14,10,7,5,3,1,0
24,4,2122,2,667,769,0,64,45,31,19,10,7,6,4,2,1,59,64,39,26,19,9,6,5,2,1,0
24,4,2200,0,610,738,0,62,43,30,20,11,7,4,3,2,0,62,57,38,28,17,10,5,3,2,1,0
24,4,2200,1,610,686,0,62,43,30,20,11,7,4,3,2,0,63,62,43,24,13,8,6,3,1,1,0
24,4,2200,2,610,709,0,62,43,30,20,11,7,4,3,2,0,57,63,39,25,17,9,5,3,2,0,0
24,4,2201,0,622,716,0,60,49,31,17,11,8,5,2,1,1,59,63,42,22,13,10,7,4,1,1,0
24,4,2201,1,622,693,0,60,49,31,17,11,8,5,2,1,1,63,59,43,27,16,9,4,3,2,0,0
24,4,2201,2,622,727,0,60,49,31,17,11,8,5,2,1,1,63,63,40,27,16,9,6,2,1,1,1
24,4,2202,0,617,715,0,57,44,29,20,14,7,5,3,1,0,58,58,40,30,19,12,5,2,1,0,0
24,4,2202,1,617,716,0,57,44,29,20,14,7,5,3,1,0,64,58,39,26,15,9,5,3,2,1,0
24,4,2202,2,617,711,0,57,44,29,20,14,7,5,3,1,0,58,64,44,23,16,9,6,4,1,0,0
24,4,2210,0,562,622,0,58,44,29,16,11,8,4,2,1,0,56,57,37,25,14,7,6,3,1,0,0
24,4,2210,1,562,659,0,58,44,29,16,11,8,4,2,1,0,60,56,37,22,14,11,6,3,1,0,0
24,4,2210,2,562,610,0,58,44,29,16,11,8,4,2,1,0,57,60,41,24,14,8,3,1,1,1,0
24,4,2211,0,571,654,0,61,44,28,18,12,6,3,2,1,1,63,61,38,23,13,11,6,2,1,0,0
24,4,2211,1,571,658,0,61,44,28,18,12,6,3,2,1,1,52,63,39,21,13,8,3,3,2,1,1
24,4,2211,2,571,621,0,61,44,28,18,12,6,3,2,1,1,61,52,38,27,17,6,4,2,1,1,0
24,4,2212,0,551,613,0,57,42,26,19,11,7,5,2,1,0,52,57,34,20,14,10,7,3,0,0,0
24,4,2212,1,551,653,0,57,42,26,19,11,7,5,2,1,0,61,52,40,25,16,9,4,3,2,0,0
24,4,2212,2,551,639,0,57,42,26,19,11,7,5,2,1,0,57,61,39,26,15,7,4,2,1,1,0
24,4,2220,0,647,769,0,63,44,31,18,10,7,5,4,2,1,62,60,43,26,14,10,7,5,3,0,0
24,4,2220,1,647,797,0,63,44,31,18,10,7,5,4,2,1,63,62,42,26,16,9,5,4,2,2,1
24,4,2220,2,647,760,0,63,44,31,18,10,7,5,4,2,1,60,63,37,26,17,10,7,3,2,1,0
24,4,2221,0,656,806,0,59,45,31,21,13,7,4,3,1,1,63,64,45,28,17,10,5,3,1,1,1
