q,K,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
26,4,2,2009,2227,0,103,79,48,35,22,16,13,10,7,3,0,114,112,78,50,34,26,18,14,9,5
26,4,0,1974,2101,0,100,76,58,41,26,16,10,9,5,4,0,121,122,88,59,35,23,14,9,8,6
26,4,1,1974,2055,0,100,76,58,41,26,16,10,9,5,4,0,122,106,82,57,39,27,16,12,7,3
26,4,2,1974,2144,0,100,76,58,41,26,16,10,9,5,4,0,106,121,79,57,41,24,18,11,7,4
26,4,0,2021,2203,0,97,78,54,36,26,18,13,8,7,3,0,112,116,82,55,37,26,19,13,8,4
26,4,1,2021,2137,0,97,78,54,36,26,18,13,8,7,3,0,116,116,84,60,35,24,18,11,7,4
26,4,2,2021,2236,0,97,78,54,36,26,18,13,8,7,3,0,116,112,81,54,43,29,16,11,7,6
26,4,0,1965,2106,0,106,77,51,37,26,17,11,6,4,4,0,111,113,75,53,39,27,16,8,6,5
26,4,1,1965,2097,0,106,77,51,37,26,17,11,6,4,4,0,113,121,84,57,37,23,15,12,5,4
26,4,2,1965,2133,0,106,77,51,37,26,17,11,6,4,4,0,121,111,80,52,35,24,17,11,9,5
26,4,0,1349,1356,0,92,73,43,30,20,11,7,4,3,2,0,99,94,63,38,28,17,10,5,3,2
26,4,1,1349,1279,0,92,73,43,30,20,11,7,4,3,2,0,94,92,66,43,24,13,8,6,3,1
26,4,2,1349,1304,0,92,73,43,30,20,11,7,4,3,2,0,92,99,64,39,25,17,9,5,3,2
26,4,0,1373,1294,0,97,67,51,31,17,11,8,5,2,1,0,96,93,62,44,27,16,9,4,3,2
26,4,1,1373,1344,0,97,67,51,31,17,11,8,5,2,1,0,93,102,66,41,27,16,9,6,2,1
26,4,2,1373,1321,0,97,67,51,31,17,11,8,5,2,1,0,102,96,66,42,22,13,10,7,4,1
26,4,0,1341,1320,0,89,64,44,29,20,14,7,5,3,1,0,98,91,68,44,23,16,9,6,4,1
26,4,1,1341,1319,0,89,64,44,29,20,14,7,5,3,1,0,91,87,60,40,30,19,12,5,2,1
26,4,2,1341,1300,0,89,64,44,29,20,14,7,5,3,1,0,87,98,59,39,26,15,9,5,3,2
26,4,0,1270,1243,0,89,71,46,28,18,12,6,3,2,1,0,90,98,65,39,23,13,11,6,2,1
26,4,1,1270,1255,0,89,71,46,28,18,12,6,3,2,1,0,98,89,67,40,21,13,8,3,3,2
26,4,2,1270,1191,0,89,71,46,28,18,12,6,3,2,1,0,89,90,56,38,27,17,6,4,2,1
26,4,0,1277,1225,0,97,70,43,26,19,11,7,5,2,1,0,92,91,56,41,25,16,9,4,3,2
26,4,1,1277,1237,0,97,70,43,26,19,11,7,5,2,1,0,91,98,67,39,26,15,7,4,2,1
26,4,2,1277,1192,0,97,70,43,26,19,11,7,5,2,1,0,98,92,61,34,20,14,10,7,3,0
26,4,0,1304,1217,0,94,68,46,30,16,11,8,4,2,1,0,97,92,61,38,26,14,7,6,3,1
26,4,1,1304,1223,0,94,68,46,30,16,11,8,4,2,1,0,92,91,61,38,22,14,11,6,3,1
26,4,2,1304,1199,0,94,68,46,30,16,11,8,4,2,1,0,91,97,64,42,24,14,8,3,1,1
26,4,0,1393,1347,0,95,66,48,29,19,12,8,5,2,2,0,97,91,60,42,26,18,11,6,3,2
26,4,1,1393,1428,0,95,66,48,29,19,12,8,5,2,2,0,91,99,66,44,27,14,10,6,3,2
26,4,2,1393,1348,0,95,66,48,29,19,12,8,5,2,2,0,99,97,66,40,25,17,9,6,4,1
26,4,0,1415,1369,0,87,72,45,31,18,10,7,5,4,2,0,95,97,66,38,26,17,10,7,3,2
26,4,1,1415,1376,0,87,72,45,31,18,10,7,5,4,2,0,97,90,64,43,26,14,10,7,5,3
26,4,2,1415,1416,0,87,72,45,31,18,10,7,5,4,2,0,90,95,65,42,26,16,9,5,4,2
26,4,0,1424,1450,0,94,72,46,31,21,13,7,4,3,1,0,103,95,70,45,28,17,10,5,3,1
26,4,1,1424,1389,0,94,72,46,31,21,13,7,4,3,1,0,95,96,64,41,29,17,9,5,3,3
26,4,2,1424,1433,0,94,72,46,31,21,13,7,4,3,1,0,96,103,66,42,25,17,11,7,4,2
26,4,0,1554,1515,0,88,68,48,33,24,14,9,6,3,1,0,97,100,72,47,31,20,11,7,4,2
26,4,1,1554,1525,0,88,68,48,33,24,14,9,6,3,1,0,100,99,67,42,30,21,13,8,4,1
26,4,2,1554,1604,0,88,68,48,33,24,14,9,6,3,1,0,99,97,69,51,31,18,11,6,4,3
26,4,0,1476,1494,0,95,78,46,29,18,13,10,5,3,2,0,99,105,70,43,24,16,13,9,4,2
26,4,1,1476,1428,0,95,78,46,29,18,13,10,5,3,2,0,105,96,70,43,29,18,10,5,4,2
26,4,2,1476,1458,0,95,78,46,29,18,13,10,5,3,2,0,96,99,65,41,28,18,11,7,3,2
26,4,0,1489,1432,0,99,68,47,34,22,14,7,5,3,2,0,98,96,63,44,32,19,11,6,2,2
26,4,1,1489,1418,0,99,68,47,34,22,14,7,5,3,2,0,96,108,69,47,27,14,10,7,5,2
26,4,2,1489,1530,0,99,68,47,34,22,14,7,5,3,2,0,108,98,71,44,29,21,11,5,4,2
26,4,0,1492,1538,0,88,69,49,35,22,12,7,5,3,2,0,100,97,72,45,28,16,10,8,5,1
26,4,1,1492,1452,0,88,69,49,35,22,12,7,5,3,2,0,97,97,65,45,29,20,11,5,3,3
26,4,2,1492,1558,0,88,69,49,35,22,12,7,5,3,2,0,97,100,69,47,31,17,10,6,4,3
26,4,0,1587,1631,0,95,71,49,28,21,15,9,6,3,2,0,97,104,67,44,28,19,12,8,4,3
26,4,1,1587,1648,0,95,71,49,28,21,15,9,6,3,2,0,104,101,71,46,27,19,13,8,6,3
26,4,2,1587,1639,0,95,71,49,28,21,15,9,6,3,2,0,101,97,69,46,32,21,13,7,4,2
26,4,0,1469,1448,0,95,70,44,32,20,14,9,4,3,2,0,96,99,61,41,28,19,14,6,3,2
26,4,1,1469,1438,0,95,70,44,32,20,14,9,4,3,2,0,99,99,68,46,28,15,9,7,4,2
26,4,2,1469,1451,0,95,70,44,32,20,14,9,4,3,2,0,99,96,70,42,29,19,10,6,3,2
26,4,0,1528,1521,0,100,73,45,30,20,12,8,5,3,2,0,100,103,72,41,27,17,9,7,4,3
26,4,1,1528,1566,0,100,73,45,30,20,12,8,5,3,2,0,103,98,62,39,27,20,12,8,5,3
26,4,2,1528,1541,0,100,73,45,30,20,12,8,5,3,2,0,98,100,67,48,29,16,12,6,4,2
26,4,0,1578,1658,0,93,72,55,33,19,12,7,5,3,1,0,101,102,73,47,27,16,11,7,5,3
26,4,1,1578,1640,0,93,72,55,33,19,12,7,5,3,1,0,102,101,66,46,28,19,10,6,5,2
26,4,2,1578,1609,0,93,72,55,33,19,12,7,5,3,1,0,101,101,72,46,29,16,11,7,3,3
26,4,0,1565,1585,0,94,69,46,30,21,14,9,5,3,2,0,90,104,64,44,30,20,13,7,4,3
26,4,1,1565,1561,0,94,69,46,30,21,14,9,5,3,2,0,104,102,73,43,26,17,12,7,4,3
26,4,2,1565,1638,0,94,69,46,30,21,14,9,5,3,2,0,102,90,65,46,31,20,11,8,5,2
26,4,0,1550,1513,0,92,70,50,34,22,14,9,5,5,2,0,98,101,69,51,31,18,10,6,4,2
26,4,1,1550,1530,0,92,70,50,34,22,14,9,5,5,2,0,101,104,74,47,31,19,12,7,4,2
26,4,2,1550,1541,0,92,70,50,34,22,14,9,5,5,2,0,104,98,68,43,29,20,13,8,4,3
26,4,0,1471,1478,0,92,71,45,29,22,14,8,3,2,2,0,97,97,65,43,28,15,9,6,4,2
26,4,1,1471,1501,0,92,71,45,29,22,14,8,3,2,2,0,97,97,69,43,26,19,11,6,2,2
26,4,2,1471,1490,0,92,71,45,29,22,14,8,3,2,2,0,97,97,65,42,29,20,12,6,4,3
26,4,0,1513,1450,0,94,71,47,33,19,13,9,7,3,2,0,101,98,67,45,31,17,9,7,5,2
26,4,1,1513,1565,0,94,71,47,33,19,13,9,7,3,2,0,98,100,67,44,28,20,13,9,4,1
26,4,2,1513,1454,0,94,71,47,33,19,13,9,7,3,2,0,100,101,71,45,28,17,13,6,4,3
26,4,0,1551,1583,0,93,70,48,32,21,14,11,6,2,1,0,98,97,65,45,31,18,11,7,4,2
26,4,1,1551,1639,0,93,70,48,32,21,14,11,6,2,1,0,97,106,71,46,27,20,12,9,5,2
26,4,2,1551,1629,0,93,70,48,32,21,14,11,6,2,1,0,106,98,72,47,32,20,14,7,3,2
26,4,0,1609,1618,0,96,70,49,35,21,12,7,6,5,4,0,109,98,71,44,30,21,12,7,4,3
26,4,1,1609,1665,0,96,70,49,35,21,12,7,6,5,4,0,98,99,66,47,31,18,13,9,6,4
26,4,2,1609,1594,0,96,70,49,35,21,12,7,6,5,4,0,99,109,73,49,30,17,10,7,6,3
26,4,0,1585,1667,0,95,71,48,29,22,17,10,6,4,1,0,99,102,71,46,31,23,14,7,4,2
26,4,1,1585,1565,0,95,71,48,29,22,17,10,6,4,1,0,102,104,68,45,31,21,14,7,3,2
